### placeholder log file - keep empty in the repository
2025 11 05, 19:32:31 | INFO | data red successfully
2025 11 06, 12:58:36 | ERROR | invalid input not a num
2025 11 06, 12:58:43 | ERROR | invalid input not a num
2025 11 06, 12:58:44 | ERROR | invalid input not a num
2025 11 06, 12:58:44 | ERROR | invalid input not a num
2025 11 06, 12:58:45 | ERROR | invalid input not a num
2025 11 06, 12:58:45 | ERROR | invalid input not a num
2025 11 06, 12:58:45 | ERROR | invalid input not a num
2025 11 06, 12:58:46 | ERROR | invalid input not a num
2025 11 06, 12:58:46 | ERROR | invalid input not a num
2025 11 06, 12:58:46 | ERROR | invalid input not a num
2025 11 06, 12:59:19 | INFO | main fun is called........
2025 11 06, 13:09:29 | INFO | main fun is called........
2025 11 06, 13:09:31 | ERROR | invalid input not a num
2025 11 06, 13:09:40 | ERROR | invalid input not a num
2025 11 06, 13:09:40 | ERROR | invalid input not a num
2025 11 06, 13:09:41 | ERROR | invalid input not a num
2025 11 06, 13:09:41 | ERROR | invalid input not a num
2025 11 06, 13:09:42 | ERROR | invalid input not a num
2025 11 06, 13:09:42 | ERROR | invalid input not a num
2025 11 06, 13:09:42 | ERROR | invalid input not a num
2025 11 06, 13:09:42 | ERROR | invalid input not a num
2025 11 06, 13:09:42 | ERROR | invalid input not a num
2025 11 06, 13:09:43 | ERROR | invalid input not a num
2025 11 06, 14:21:36 | INFO | main fun is called........
2025 11 06, 14:21:43 | INFO | csv loaded successfully for generate the summary.............
2025 11 06, 14:21:46 | INFO | data printed in the console successfully............
2025 11 06, 14:21:49 | INFO | main fun is called........
2025 11 06, 14:21:56 | INFO | csv loaded successfully for to export the csv.............
2025 11 06, 14:21:56 | INFO | data exported successfully.........
2025 11 06, 14:22:00 | INFO | main fun is called........
2025 11 06, 14:22:01 | INFO | user enter the exit
2025 11 06, 14:22:03 | INFO | main fun is called........
2025 11 06, 14:22:28 | ERROR | invalid input not a number
2025 11 06, 14:22:45 | ERROR | invalid input not a number
2025 11 06, 14:22:53 | ERROR | invalid input not a number
2025 11 06, 14:22:53 | INFO | user invalid the exit
2025 11 06, 14:23:37 | INFO | main fun is called........
2025 11 06, 14:23:39 | ERROR | invalid input not a number
2025 11 06, 14:31:53 | INFO | main fun is called........
2025 11 06, 14:32:56 | INFO | main fun is called........
2025 11 06, 14:33:00 | INFO | user invalid the exit
2025 11 06, 14:33:49 | INFO | main fun is called........
2025 11 06, 14:33:50 | ERROR | invalid input not a number
2025 11 06, 14:33:57 | ERROR | invalid input not a number
2025 11 06, 14:34:29 | INFO | csv loaded successfully for generate the summary.............
2025 11 06, 14:34:33 | INFO | data printed in the console successfully............
2025 11 06, 14:34:35 | INFO | main fun is called........
2025 11 06, 14:34:37 | ERROR | invalid input not a number
2025 11 06, 14:34:38 | ERROR | invalid input not a number
2025 11 06, 14:34:41 | ERROR | invalid input not a number
2025 11 06, 14:34:41 | INFO | user invalid the exit
2025 11 06, 14:36:22 | INFO | main fun is called........
2025 11 06, 14:36:23 | ERROR | invalid input not a number
2025 11 06, 14:36:27 | ERROR | invalid input not a number
2025 11 06, 14:36:29 | ERROR | invalid input not a number
2025 11 06, 14:36:29 | INFO | user invalid the exit
2025 11 06, 14:37:08 | INFO | main fun is called........
2025 11 06, 14:39:36 | INFO | main fun is called........
2025 11 06, 14:40:17 | INFO | main fun is called........
2025 11 06, 14:40:21 | ERROR | invalid input was give my user
2025 11 06, 20:26:23 | INFO | main fun is called........
2025 11 06, 20:26:52 | INFO | csv loaded for summary: c:\Users\Tnluser.PG02S0YG\Downloads\mini_projects\mini_projects\csv_data_analyzer\data\sales.csv
2025 11 06, 20:27:07 | ERROR | Column 'Date' has no numeric values
2025 11 06, 20:27:07 | ERROR | Summary failed: Column 'Date' has no numeric values
2025 11 06, 20:27:15 | INFO | main fun is called........
2025 11 06, 20:30:25 | INFO | csv loaded for summary: c:\Users\Tnluser.PG02S0YG\Downloads\mini_projects\mini_projects\csv_data_analyzer\data\sales.csv
2025 11 06, 20:30:38 | INFO | summary generated successfully
